Data Field,Value,Label
q1AgeBeginCoding,1,5 - 10 years old
q1AgeBeginCoding,2,11 - 15 years old
q1AgeBeginCoding,3,16 - 20 years old
q1AgeBeginCoding,4,21 - 25 years old
q1AgeBeginCoding,5,26 - 30 years old
q1AgeBeginCoding,6,31 - 35 years old
q1AgeBeginCoding,7,36 - 40 years old
q1AgeBeginCoding,8,41 - 50 years old
q1AgeBeginCoding,9,50+ years or older
q2Age,1,Under 12 years old
q2Age,2,12 - 18 years old
q2Age,3,18 - 24 years old
q2Age,4,25 - 34 years old
q2Age,5,35 - 44 years old
q2Age,6,45 - 54 years old
q2Age,7,55 - 64 years old
q2Age,8,65 - 74 years old
q2Age,9,75 years or older
q3Gender,1,Male
q3Gender,2,Female
q3Gender,3,Non-Binary
q4Education,0,Other (please specify)
q4Education,1,Some high school
q4Education,2,High school graduate
q4Education,3,Some college
q4Education,4,Vocational training (like bootcamp)
q4Education,5,College graduate
q4Education,6,"Some post graduate work (Masters, PhD)"
q4Education,7,"Post graduate degree (Masters, PhD)"
q5DegreeFocus,0,Other (please specify)
q5DegreeFocus,1,Computer Science
q5DegreeFocus,2,"Other STEM (science, technology, engineering, math)"
q6LearnCodeUni,1,School or university
q6LearnCodeSelfTaught,1,"Self-taught (i.e. books, online)"
q6LearnCodeAccelTrain,1,Accelerated training (i.e. bootcamp)
q6LearnCodeDontKnowHowToYet,1,I don't know how to code yet
q6LearnCodeOther,1,Other (please specify)
q7Level1,1,C
q7Level1,2,Ruby
q7Level1,3,Python
q7Level1,4,SQL
q8JobLevel,0,Other (please specify)
q8JobLevel,1,Student
q8JobLevel,2,New grad
q8JobLevel,3,Freelancer
q8JobLevel,4,Level 1 developer (junior)
q8JobLevel,5,Senior developer
q8JobLevel,6,Principal engineer
q8JobLevel,7,Architect
q8JobLevel,8,Engineering manager
q8JobLevel,9,Director / VP of Engineering
q8JobLevel,10,Founder / CEO / CTO
q8JobLevel,11,None
q8Student,0,Developers
q8Student,1,Students
q9CurrentRole,0,Other (please specify)
q9CurrentRole,1,Web Developer
q9CurrentRole,2,Front-end Developer
q9CurrentRole,3,Back-end Developer
q9CurrentRole,4,Full-stack Developer
q9CurrentRole,5,Data Analyst
q9CurrentRole,6,Data Scientist
q9CurrentRole,7,Mobile Developer
q9CurrentRole,8,Software Specialist
q9CurrentRole,9,Software Engineer
q9CurrentRole,10,Software Test Engineer
q9CurrentRole,11,Software Architect
q9CurrentRole,12,Reliability Engineer
q9CurrentRole,13,Development Operations Engineer
q9CurrentRole,14,Platform Engineer
q9CurrentRole,15,Database Administrator
q9CurrentRole,16,Network Administrator
q9CurrentRole,17,Data Engineer
q9CurrentRole,18,Student
q9CurrentRole,19,Unemployed
q10Industry,0,Other (please specify)
q10Industry,1,Aerospace & Defense
q10Industry,2,Automotive & Transportation
q10Industry,3,Computer Hardware
q10Industry,4,Education
q10Industry,5,Financial Services
q10Industry,6,Food & Beverage
q10Industry,7,Government
q10Industry,8,Health Care
q10Industry,9,Insurance
q10Industry,10,Media
q10Industry,11,Non-Profit
q10Industry,12,Retail
q10Industry,13,Security
q10Industry,14,Technology
q10Industry,15,"Travel, Tourism, Accommodation"
q10Industry,16,"Telecom, Internet Services"
q10Industry,17,Real estate
q10Industry,18,Manufacturing
q10Industry,19,"Energy, Oil, Gas, Utilities"
q10Industry,20,Professional Services
q12JobCritPrefTechStack,1,Preferred tech stack
q12JobCritCompMission,1,Company mission
q12JobCritCompCulture,1,Company culture
q12JobCritWorkLifeBal,1,Good work/life balance
q12JobCritCompensation,1,Compensation
q12JobCritProximity,1,Proximity to where you live
q12JobCritPerks,1,Perks
q12JobCritSmartPeopleTeam,1,Smart people / team
q12JobCritImpactwithProduct,1,Impact with product
q12JobCritInterestProblems,1,Interesting problems to solve
q12JobCritFundingandValuation,1,Funding and valuation
q12JobCritStability,1,Stability from a large company
q12JobCritProfGrowth,1,Professional growth and learning
q12JobCritOther,1,Other (please specify)
q13EmpMeasWhiteboard,1,Whiteboard Interview
q13EmpMeasHackerRank,1,HackerRank Challenge
q13EmpMeasOtherCodingChallenge,1,Other Coding Challenge Assessment
q13EmpMeasTechPhoneInt,1,Technical Phone Interview
q13EmpMeasTakeHomeProject,1,Take Home Project
q13EmpMeasResume,1,Resume
q13EmpMeasPastWork,1,Past Work
q13EmpMeasOther,1,Other (please specify)
q14GoodReflecAbilities,1,Very Good
q14GoodReflecAbilities,2,Good
q14GoodReflecAbilities,3,Acceptable
q14GoodReflecAbilities,4,Poor
q14GoodReflecAbilities,5,Very Poor
q15Level2,1,"prints ""Hello, World!"" n times"
q15Level2,2,prints n
q15Level2,3,"prints ""Hello, World!"" once"
q15Level2,4,prints all numbers up to n
q16HiringManager,1,Yes
q16HiringManager,2,No
q17HirChaInterviews,1,Time consuming interviews
q17HirChaHardAssessSkills,1,Hard to assess skills before onsite
q17HirChaNotEnoughTalent,1,Not enough talent
q17HirChaNoDiversCandidates,1,Not enough diverse candidates
q17HirChaCompfromCompanies,1,Competition from other companies
q17HirChaJobDescript,1,Calibrating the job description
q17HirChaOther,1,Other (please specify)
q18NumDevelopHireWithinNextYear,1,0 - 10
q18NumDevelopHireWithinNextYear,2,11 - 50
q18NumDevelopHireWithinNextYear,3,51 - 100
q18NumDevelopHireWithinNextYear,4,101 - 200
q18NumDevelopHireWithinNextYear,5,201 - 500
q18NumDevelopHireWithinNextYear,6,501 - 1000
q18NumDevelopHireWithinNextYear,7,1000+
q19TalToolResumeScreen,1,Resume screening
q19TalToolReferral,1,Referrals
q19TalToolHackerRank,1,HackerRank coding challenges
q19TalToolOtherProbSolv,1,"Other problem solving, logic challenges"
q19TalToolPersTest,1,Personality test
q19TalToolRemoteorLiveIntTool,1,"Remote, live interviewing tool"
q19TalToolOutsourceHumIntPanel,1,Outsourced human technical interview panel
q19TalToolOther,1,Other (please specify)
q20CandYearExp,1,Years of experience
q20CandCompScienceDegree,1,Computer science degree or related
q20CandCodingBootcamp,1,Coding bootcamp education
q20CandSkillCert,1,Skill Certifications
q20CandHackerRankActivity,1,Activity on HackerRank
q20CandOtherCodingCommAct,1,Other coding community activity
q20CandGithubPersProj,1,Personal projects/GitHub
q20CandOpenSourceContrib,1,Open source contributions
q20CandHackathonPart,1,Hackathon participations
